Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
Image,0,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0035.jp2,,Vol250,,,,,-1,0035,0,0
Image,1,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0021.jp2,,Vol250,,,,,-1,0021,0,0
Image,2,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0009.jp2,,Vol250,,,,,-1,0009,0,0
Image,3,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0182.jp2,,Vol250,,,,,-1,0182,0,0
Image,4,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0196.jp2,,Vol250,,,,,-1,0196,0,0
Image,5,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0141.jp2,,Vol250,,,,,-1,0141,0,0
Image,6,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0155.jp2,,Vol250,,,,,-1,0155,0,0
Image,7,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0169.jp2,,Vol250,,,,,-1,0169,0,0
Image,8,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0168.jp2,,Vol250,,,,,-1,0168,0,0
Image,9,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0154.jp2,,Vol250,,,,,-1,0154,0,0
Image,10,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0140.jp2,,Vol250,,,,,-1,0140,0,0
Image,11,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0197.jp2,,Vol250,,,,,-1,0197,0,0
Image,12,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0183.jp2,,Vol250,,,,,-1,0183,0,0
Image,13,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0008.jp2,,Vol250,,,,,-1,0008,0,0
Image,14,22,,https://mattmcgrattan.github.io/foo/RA_SEC_Vol250_2018_0020.jp2,,Vol250,,,,,-1,0020,0,0
